,event_key,total_person_count,injured_person_count,Minor_count,Serious_count,Fatal_count,ev_id,Aircraft_key
78,20080219X00203_1,2.0,0.0,0.0,0.0,0.0,20080219X00203,1
79,20080219X00204_1,1.0,0.0,0.0,0.0,0.0,20080219X00204,1
80,20080219X00205_1,1.0,1.0,0.0,0.0,1.0,20080219X00205,1
81,20080219X00209_1,4.0,4.0,0.0,0.0,4.0,20080219X00209,1
82,20080219X00210_1,3.0,3.0,3.0,0.0,0.0,20080219X00210,1
83,20080220X00211_1,2.0,0.0,0.0,0.0,0.0,20080220X00211,1
84,20080220X00212_1,2.0,0.0,0.0,0.0,0.0,20080220X00212,1
85,20080220X00213_1,2.0,1.0,1.0,0.0,0.0,20080220X00213,1
86,20080220X00214_1,22.0,2.0,1.0,1.0,0.0,20080220X00214,1
87,20080220X00215_1,1.0,1.0,0.0,0.0,1.0,20080220X00215,1
88,20080220X00216_1,2.0,2.0,0.0,0.0,2.0,20080220X00216,1
89,20080220X00218_1,4.0,0.0,0.0,0.0,0.0,20080220X00218,1
90,20080220X00219_1,2.0,2.0,1.0,0.0,1.0,20080220X00219,1
91,20080220X00220_1,1.0,0.0,0.0,0.0,0.0,20080220X00220,1
92,20080220X00221_1,2.0,0.0,0.0,0.0,0.0,20080220X00221,1
93,20080221X00222_1,2.0,2.0,0.0,0.0,2.0,20080221X00222,1
94,20080221X00223_1,1.0,1.0,0.0,0.0,1.0,20080221X00223,1
95,20080221X00224_1,1.0,0.0,0.0,0.0,0.0,20080221X00224,1
96,20080222X00225_1,39.0,0.0,0.0,0.0,0.0,20080222X00225,1
97,20080222X00227_1,3.0,3.0,0.0,0.0,3.0,20080222X00227,1
98,20080222X00228_1,1.0,1.0,0.0,0.0,1.0,20080222X00228,1
99,20080222X00229_1,43.0,0.0,0.0,0.0,0.0,20080222X00229,1
100,20080222X00230_1,2.0,1.0,1.0,0.0,0.0,20080222X00230,1
101,20080222X00231_1,2.0,0.0,0.0,0.0,0.0,20080222X00231,1
102,20080222X00232_1,1.0,1.0,0.0,0.0,1.0,20080222X00232,1
103,20080225X00233_1,1.0,0.0,0.0,0.0,0.0,20080225X00233,1
104,20080225X00234_1,2.0,0.0,0.0,0.0,0.0,20080225X00234,1
105,20080226X00235_1,2.0,0.0,0.0,0.0,0.0,20080226X00235,1
106,20080226X00236_1,1.0,0.0,0.0,0.0,0.0,20080226X00236,1
107,20080227X00237_1,1.0,1.0,0.0,0.0,1.0,20080227X00237,1
108,20080227X00238_1,1.0,1.0,0.0,0.0,1.0,20080227X00238,1
109,20080227X00239_1,1.0,0.0,0.0,0.0,0.0,20080227X00239,1
110,20080228X00243_1,148.0,0.0,0.0,0.0,0.0,20080228X00243,1
111,20080228X00244_1,1.0,0.0,0.0,0.0,0.0,20080228X00244,1
112,20080228X00245_1,20.0,5.0,3.0,2.0,0.0,20080228X00245,1
113,20080228X00246_1,1.0,0.0,0.0,0.0,0.0,20080228X00246,1
114,20080229X00247_1,2.0,1.0,1.0,0.0,0.0,20080229X00247,1
115,20080229X00248_1,3.0,1.0,1.0,0.0,0.0,20080229X00248,1
116,20080229X00249_1,1.0,0.0,0.0,0.0,0.0,20080229X00249,1
117,20080229X00253_1,4.0,3.0,0.0,3.0,0.0,20080229X00253,1
118,20080304X00255_1,2.0,0.0,0.0,0.0,0.0,20080304X00255,1
119,20080304X00256_1,2.0,2.0,0.0,1.0,1.0,20080304X00256,1
120,20080304X00257_1,1.0,0.0,0.0,0.0,0.0,20080304X00257,1
121,20080304X00258_1,1.0,0.0,0.0,0.0,0.0,20080304X00258,1
122,20080304X00260_1,53.0,1.0,0.0,1.0,0.0,20080304X00260,1
123,20080304X00261_1,1.0,0.0,0.0,0.0,0.0,20080304X00261,1
124,20080305X00263_1,4.0,4.0,0.0,0.0,4.0,20080305X00263,1
125,20080305X00264_1,1.0,1.0,1.0,0.0,0.0,20080305X00264,1
126,20080305X00265_1,2.0,2.0,0.0,1.0,1.0,20080305X00265,1
127,20080305X00265_2,2.0,2.0,0.0,0.0,2.0,20080305X00265,2
128,20080305X00266_1,1.0,0.0,0.0,0.0,0.0,20080305X00266,1
129,20080305X00267_1,142.0,6.0,6.0,0.0,0.0,20080305X00267,1
130,20080305X00268_1,2.0,0.0,0.0,0.0,0.0,20080305X00268,1
131,20080305X00269_1,1.0,0.0,0.0,0.0,0.0,20080305X00269,1
132,20080305X00271_1,3.0,3.0,0.0,0.0,3.0,20080305X00271,1
