ev_id,ntsb_no,ev_type,ev_date,ev_time,ev_country,ev_year,ev_month,on_ground_collision,latitude,longitude,apt_dist,light_cond,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,ev_inj_tot_f,ev_inj_tot_m,ev_inj_tot_n,ev_inj_tot_s,ev_inj_tot_t,BroadPhaseofFlight,aircraft_count,Aircraft_ID,event_key,Aircraft_Key,eng_type,far_part,damage,acft_make,acft_category,homebuilt,total_seats,num_eng,fixed_retractable,date_last_insp,owner_acft,certs_held,oprtng_cert,oper_cert,second_pilot,evacuation,rwy_len,rwy_width,acft_year,fuel_on_board,unmanned,acft_fatal_count,acft_minor_count,acft_none_count,acft_serious_count,acft_total_person_count,acft_injured_person_count
20221128106374,CEN23LA053,ACC,11/19/22 00:00:00,2200.0,USA,2022,11,,035141N,0914347W,0.0,DAYL,6.0,0.0,30.35,NONE,,,,0,0,3,0,3.0,Maneuvering,1.0,1,20221128106374_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221128106375,CEN22LA442,ACC,09/27/22 00:00:00,1000.0,USA,2022,9,,,,,,,,,NONE,,,,0,0,2,0,2.0,Unknown,1.0,1,20221128106375_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221128106378,CEN23LA055,ACC,11/27/22 00:00:00,1143.0,USA,2022,11,,035512N,0972457W,0.0,DAYL,9.0,0.0,29.940001,NONE,,,,0,0,2,0,2.0,Landing,1.0,1,20221128106378_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221129106379,ERA23LA074,ACC,11/22/22 00:00:00,945.0,USA,2022,11,,331842N,0844611W,0.0,DAYL,4.0,0.0,30.389999,NONE,,,,0,0,2,0,2.0,Landing,1.0,1,20221129106379_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221130106386,WPR23FA047,ACC,11/30/22 00:00:00,1900.0,USA,2022,11,,334827N,1182050W,0.47,DAYL,9.0,0.0,30.049999,FATL,,,,2,0,0,0,2.0,Approach,1.0,1,20221130106386_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221130106387,CEN23LA056,ACC,11/30/22 00:00:00,110.0,USA,2022,11,,354334N,0913851W,0.60000002,NITE,5.0,0.0,29.68,MINR,,,,0,2,6,0,8.0,Landing,1.0,1,20221130106387_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221201106394,WPR23LA050,ACC,10/26/22 00:00:00,1550.0,USA,2022,10,,033495N,0011897W,0.0,DAYL,7.0,0.0,2990.0,NONE,,,,0,0,2,0,2.0,Landing,1.0,1,20221201106394_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221201106395,WPR23LA051,ACC,11/26/22 00:00:00,1000.0,USA,2022,11,,342152N,0114938W,0.0,DAYL,4.0,0.0,30.16,NONE,,,,0,0,1,0,1.0,Enroute,1.0,1,20221201106395_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221202106398,ERA23LA075,ACC,11/30/22 00:00:00,1235.0,USA,2022,11,,037816N,0762838W,0.0,DAYL,7.0,0.0,30.040001,NONE,,0.0,,0,0,3,0,3.0,Takeoff,1.0,1,20221202106398_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221202106401,DCA23LA086,ACC,11/30/22 00:00:00,600.0,USA,2022,11,,401832N,1052140W,0.0,NITE,10.0,0.0,30.0,SERS,0.0,0.0,0.0,0,1,6,1,8.0,Enroute,1.0,1,20221202106401_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221202106402,ERA23LA076,ACC,11/27/22 00:00:00,1430.0,USA,2022,11,,355333N,0795321W,0.0,DAYL,14.0,28.0,29.620001,MINR,,0.0,,0,1,0,0,1.0,Initial Climb,1.0,1,20221202106402_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
