,accident_id,engine_ELEC,engine_GTFN,engine_HR,engine_LR,engine_NONE,engine_REC,engine_TF,engine_TJ,engine_TP,engine_TS,engine_UNK
107,20080214X00195_1,0,0,0,0,0,1,0,0,0,0,0
108,20080321X00363_1,0,0,0,0,0,1,0,0,0,0,0
109,20080416X00494_1,0,0,0,0,0,1,0,0,0,0,0
110,20080213X00184_1,0,0,0,0,0,1,0,0,0,0,0
111,20080213X00185_1,0,0,0,0,0,0,0,0,0,1,0
112,20080306X00276_1,0,0,0,0,0,1,0,0,0,0,0
113,20080322X00368_1,0,0,0,0,0,1,0,0,0,0,0
114,20080321X00362_1,0,0,0,0,0,1,0,0,0,0,0
115,20080213X00186_1,0,0,0,0,0,1,0,0,0,0,0
116,20080219X00210_1,0,0,0,0,0,1,0,0,0,0,0
118,20080227X00239_1,0,0,0,0,0,1,0,0,0,0,0
119,20080312X00301_1,0,0,0,0,0,1,0,0,0,0,0
120,20080306X00278_1,0,0,0,0,0,1,0,0,0,0,0
121,20080219X00209_1,0,0,0,0,0,1,0,0,0,0,0
123,20080228X00244_1,0,0,0,0,0,1,0,0,0,0,0
124,20080306X00279_1,0,0,0,0,0,1,0,0,0,0,0
125,20080310X00292_1,0,0,0,0,0,0,1,0,0,0,0
127,20080220X00211_1,0,0,0,0,0,1,0,0,0,0,0
128,20080306X00277_1,0,0,0,0,0,1,0,0,0,0,0
129,20080305X00266_1,0,0,0,0,0,1,0,0,0,0,0
130,20080326X00388_1,0,0,0,0,0,1,0,0,0,0,0
131,20080220X00220_1,0,0,0,0,0,1,0,0,0,0,0
132,20080318X00325_1,0,0,0,0,0,1,0,0,0,0,0
133,20080415X00487_1,0,0,0,0,0,1,0,0,0,0,0
134,20080222X00228_1,0,0,0,0,0,1,0,0,0,0,0
135,20080322X00367_1,0,0,0,0,0,0,0,0,1,0,0
137,20080322X00365_1,0,0,0,0,0,1,0,0,0,0,0
138,20080312X00304_1,0,0,0,0,0,1,0,0,0,0,0
139,20080225X00234_1,0,0,0,0,0,1,0,0,0,0,0
